Gene_ID	Harringtonine_Control_rep1	Harringtonine_Control_rep2	Harringtonine_Control_rep3	Harringtonine_Treated_rep1	Harringtonine_Treated_rep2	Harringtonine_Treated_rep3
ENSG00000000003.15	1284	1178	1208	1075	1277	1190
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.14	8282	7316	8153	7287	8360	8058
ENSG00000000457.14	216	333	238	227	269	262
ENSG00000000460.17	2068	2003	1917	1936	2130	2166
ENSG00000000938.13	0	0	0	0	0	0
ENSG00000000971.17	0	0	0	0	1	1
ENSG00000001036.14	4420	4549	4730	4189	4538	4595
ENSG00000001084.13	2132	2016	2072	2004	2240	2187
ENSG00000001167.15	536	918	572	561	581	615
ENSG00000001460.18	77	59	76	65	103	84
ENSG00000001461.17	48	104	52	92	85	68
ENSG00000001497.18	583	547	620	638	679	656
ENSG00000001561.7	1159	1135	1047	1057	1145	1148
ENSG00000001617.12	627	567	700	696	666	701
ENSG00000001626.18	2	1	0	0	4	0
ENSG00000001629.10	7542	8842	7784	7256	7778	7813
ENSG00000001630.18	1769	1456	1780	1891	1764	1738
ENSG00000001631.17	860	1053	916	1149	1203	1183
ENSG00000002016.18	136	175	167	221	203	200
ENSG00000002079.14	0	1	0	0	0	0
ENSG00000002330.14	1547	1295	1614	1763	1540	1518
ENSG00000002549.13	374	922	355	405	417	457
ENSG00000002586.20	0	0	0	0	0	0
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0
ENSG00000002587.10	1	0	0	0	0	0
ENSG00000002726.21	0	0	0	0	1	1
ENSG00000002745.13	0	0	0	0	0	0
ENSG00000002746.15	0	0	1	0	1	0
ENSG00000002822.16	36	30	25	38	45	32
ENSG00000002834.18	2294	2937	2462	2528	2507	2707
ENSG00000002919.15	1614	1512	1660	1403	1495	1459
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	7847	6837	7488	7173	7836	7613
ENSG00000003096.15	146	189	158	136	131	168
ENSG00000003137.9	11	25	12	21	18	4
ENSG00000003147.19	606	753	659	598	604	663
ENSG00000003249.15	2087	1897	2145	2078	2097	2100
ENSG00000003393.16	1150	1184	1079	1079	1266	1190
ENSG00000003400.16	20	20	7	19	11	17
ENSG00000003402.21	476	619	541	450	563	565
ENSG00000003436.16	302	333	249	207	293	277
ENSG00000003509.16	221	277	231	206	252	258
ENSG00000003756.17	1919	1718	1816	1926	2104	2157
ENSG00000003987.14	163	208	169	168	179	172
ENSG00000003989.18	14988	18434	15598	14524	15477	15619
ENSG00000004059.11	7026	6465	7474	7209	7044	7134
ENSG00000004139.14	158	189	174	201	220	170
ENSG00000004142.12	2106	2657	2067	2024	2126	2152
ENSG00000004399.13	861	810	912	942	834	846
ENSG00000004455.18	3843	3699	3975	3672	3881	3986
ENSG00000004468.13	1	1	3	4	2	2
ENSG00000004478.8	25418	20852	25768	25273	26798	25644
ENSG00000004487.18	1539	1993	1790	1616	1772	1647
ENSG00000004534.15	320	352	354	385	419	497
ENSG00000004660.15	64	65	62	55	70	86
ENSG00000004700.16	2955	2579	3066	2739	3092	3072
ENSG00000004766.17	2228	2204	2236	1948	2191	2187
ENSG00000004776.13	1	0	0	0	0	0
ENSG00000004777.19	14	15	16	22	25	13
ENSG00000004779.10	8593	7018	8124	7990	8318	8089
ENSG00000004799.8	2	8	9	6	5	7
ENSG00000004809.14	0	0	0	0	0	0
ENSG00000004838.14	14	6	21	18	16	22
ENSG00000004846.17	0	0	0	2	0	1
ENSG00000004848.8	14	36	18	19	15	25
ENSG00000004864.14	847	1472	934	903	893	970
ENSG00000004866.22	492	524	412	414	454	431
ENSG00000004897.12	4822	4866	4766	4346	4846	4928
ENSG00000004939.16	0	1	1	3	0	0
ENSG00000004948.16	33	41	20	20	34	42
ENSG00000004961.15	443	668	453	456	398	430
ENSG00000004975.12	749	749	811	836	827	823
ENSG00000005001.10	480	427	463	509	529	527
ENSG00000005007.14	1059	1072	1111	1211	1112	1151
ENSG00000005020.13	976	1648	1162	992	1039	1096
ENSG00000005022.6	7105	8171	6920	7129	7851	8023
ENSG00000005059.16	1795	1923	1974	1681	1823	1770
ENSG00000005073.6	8	18	5	7	5	2
ENSG00000005075.16	1483	1310	1530	1654	1478	1621
ENSG00000005100.13	1073	1475	1048	1087	1064	1235
ENSG00000005102.14	2	0	0	0	0	0
ENSG00000005108.17	0	1	0	0	0	0
ENSG00000005156.12	1070	1018	1060	1100	1175	1098
ENSG00000005175.10	1069	1685	1409	1147	1196	1314
ENSG00000005187.12	50	51	72	49	75	60
ENSG00000005189.20	295	403	274	331	299	338
ENSG00000005194.15	2997	2665	2829	2948	3085	2774
ENSG00000005206.17	184	167	169	275	235	252
ENSG00000005238.20	165	147	144	118	151	145
ENSG00000005243.10	266	260	276	225	281	283
ENSG00000005249.13	416	714	409	418	449	506
ENSG00000005302.19	351	427	381	365	431	430
ENSG00000005339.15	608	1451	768	710	680	713
ENSG00000005379.17	0	0	1	0	0	0
ENSG00000005381.9	0	0	0	0	0	0
ENSG00000005421.9	0	0	0	0	0	0
ENSG00000005436.14	456	460	503	455	468	412
ENSG00000005448.17	486	439	443	525	523	488
ENSG00000005469.12	970	1134	1031	1046	1133	1144
ENSG00000005471.19	20	40	15	24	21	20
ENSG00000005483.23	836	1616	905	875	836	1073
ENSG00000005486.17	1008	1079	1078	1111	1046	965
ENSG00000005513.10	1	0	1	4	2	2
ENSG00000005700.15	3774	5038	4237	3819	4197	4322
ENSG00000005801.18	1137	1090	1071	1316	1357	1409
ENSG00000005810.20	943	1886	994	1022	1053	1218
ENSG00000005812.11	1397	1743	1447	1302	1439	1463
ENSG00000005844.19	1	0	0	1	2	0
ENSG00000005882.12	185	232	201	237	260	255
ENSG00000005884.18	1245	1354	1457	1535	1416	1405
ENSG00000005889.16	2809	3153	2659	2398	2652	2778
ENSG00000005893.16	5276	5610	5467	5205	5429	5346
ENSG00000005961.19	69	64	93	80	73	48
ENSG00000005981.13	0	0	0	0	0	0
ENSG00000006007.12	9575	9112	9487	8545	9217	8590
ENSG00000006015.18	643	564	696	676	742	700
ENSG00000006016.12	163	112	181	186	131	153
ENSG00000006025.12	332	317	336	342	344	337
ENSG00000006042.12	5	3	9	8	5	0
