transcript	Control_rep1	Control_rep2	Control_rep3	Arsenite_rep1	Arsenite_rep2	Arsenite_rep3
ENST00000000233	652	387	274	25	20	32
ENST00000000412	379	255	182	32	25	27
ENST00000000442	37	34	26	20	8	19
ENST00000001008	5107	3876	2310	580	571	567
ENST00000001146	4	5	3	3		3
ENST00000002125	53	32	23	3	8	1
ENST00000002165	858	599	535	27	13	26
ENST00000002501	33	22	12	8	2	12
ENST00000002829	15	24	21	15	17	10
ENST00000003100	665	504	336	138	140	91
ENST00000003302	112	68	57	39	25	28
ENST00000003912	1		1	2		
ENST00000004531	1061	637	499	65	37	53
ENST00000005082	41	30	25	12	5	9
ENST00000005178		1				
ENST00000005226		1				
ENST00000005257	215	133	66	17	19	15
ENST00000005259	101	75	69	7	7	10
ENST00000005260	68	58	58	26	16	29
ENST00000005286	236	214	160	68	25	74
ENST00000005340	108	85	70	31	20	26
ENST00000005374	655	506	297	21	22	21
ENST00000005386	244	194	114	21	12	22
ENST00000005558	27	32	34	51	33	34
ENST00000006251		2	1	3		
ENST00000006275	32	28	20	3		2
ENST00000006658	74	65	82	47	40	34
ENST00000006777	36	23	19	2	1	5
ENST00000007264	13	9	9	3	3	4
ENST00000007390	311	240	173	47	27	47
ENST00000007414	12	15	15	11	2	9
ENST00000007510	12	15	25	11	6	14
ENST00000007516	259	173	117	13	11	14
ENST00000007699	285	236	155	77	58	58
ENST00000007708	21	24	24	1	3	
ENST00000007722	101	74	69	22	10	23
ENST00000007969	23	14	8	6	7	9
ENST00000008180					1	2
ENST00000008440	43	40	22	9	10	10
ENST00000008527	11	11	11	4	11	14
ENST00000009041	19	16	12	7	9	15
ENST00000009180	2094	1517	973	224	113	107
ENST00000009589	699	482	294	12	7	20
ENST00000010132	2	3	4		1	
ENST00000010299	21	12	11	5	2	5
ENST00000010404	149	138	109	5	4	2
ENST00000011473	351	255	204	18	8	12
ENST00000011619	359	341	279	150	89	164
ENST00000011684	22	6	19	9	3	2
ENST00000011691	18	12	8	1		
ENST00000011700	55	93	102	72	58	62
ENST00000011898	12	5	8	2	2	3
ENST00000011989	4	2	1			
ENST00000012049	28	17	21	4		5
ENST00000012134	52	42	55	34	31	37
ENST00000012443	94	76	59	18	3	7
ENST00000013034	3847	2742	1734	272	136	238
ENST00000013070	846	652	434	140	100	118
ENST00000013125	60	43	41	24	10	17
ENST00000013807	7	3	10	2	2	3
ENST00000013894	19	9	11			3
ENST00000014914	605	450	342	52	24	32
ENST00000014930	155	109	70	9	11	13
ENST00000014935	36	33	31	6	8	8
ENST00000016171	142	86	75	9	4	6
ENST00000016946	733	614	581	245	194	180
ENST00000017003	90	51	66	14	5	10
ENST00000019019	18	25	9	2	2	6
ENST00000019317	171	152	130	64	40	49
ENST00000020673	3	2	6		1	4
ENST00000022615	496	280	231	50	25	51
ENST00000023939	578	493	248	52	52	31
ENST00000024061	7	7	6	1	3	2
ENST00000025008	53	50	60	31	21	22
ENST00000025301	296	252	216	80	81	85
ENST00000025399	286	164	174	29	13	20
ENST00000026218	36	19	21	15	6	16
ENST00000028008	3	1				
ENST00000029410	13	5	14	5	5	2
ENST00000031146	11	10	3	1	4	4
ENST00000033079	66	105	103	133	142	77
ENST00000034275	42	43	32	14	14	13
ENST00000035307	23	19	25	5	2	9
ENST00000037243	137	67	44	9	2	4
ENST00000037869	371	249	188	24	36	40
ENST00000038176	261	211	190	48	28	47
ENST00000039989	185	133	118	33	26	26
ENST00000040584	10	7	1	3	2	2
ENST00000040663	42	31	36	17	13	8
ENST00000040738	402	396	337	130	112	89
ENST00000040877	63	61	57	42	26	33
ENST00000042381	29	32	40	31	11	22
ENST00000042931	1					
ENST00000043402					1	1
ENST00000044462	1324	932	753	107	73	74
ENST00000045083	8	17	10	6	3	7
ENST00000045347	5	1	7			4
ENST00000046640	4	5	5		2	3
ENST00000052569	79	62	49	9	5	7
ENST00000053468	42	23	18	2	1	2
ENST00000053867	447	314	235	34	14	28
ENST00000054650	3	1	1	1		
ENST00000054666	302	217	143	22	12	16
ENST00000054950	826	661	405	33	33	32
ENST00000055077	239	217	113	24	15	39
ENST00000055335	5	9	5	7	4	10
ENST00000055682	4	4	5	2		3
ENST00000056217	606	490	368	128	162	130
ENST00000056233	27	20	11	4	5	7
ENST00000060969	319	272	152	48	22	20
ENST00000064724						1
ENST00000064778	4	1				
ENST00000064780	2	3	2	3	3	2
ENST00000066544	87	75	56	17	16	9
ENST00000070846	55	51	24	13	9	15
ENST00000072516	10	5	4	1	1	2
ENST00000072644	32	26	20	3	5	10
ENST00000072869	16	20	29	14	9	13
ENST00000074304	30	38	52	36	28	39
ENST00000075120	2	3	2	1	1	1
ENST00000075430	26	16	12	5	5	12
ENST00000075503	8	4	6	2	3	1
ENST00000078429	68	58	31	11	8	8
ENST00000078527	3	1	2			
ENST00000080059	14	15	26	21	7	13
ENST00000081029	412	294	197	32	30	36
ENST00000083182	893	701	596	86	85	93
ENST00000084795	323	220	174	33	12	46
ENST00000084798	2	1	1		1	
ENST00000085068	35	21	23	2	1	1
ENST00000085079	72	48	50	40	23	29
ENST00000085219	2	2		1	1	2
ENST00000155093	15	30	26	13	10	6
ENST00000155674	76	65	38	8	8	16
ENST00000155840	1		1	1	2	
ENST00000155926	2					
ENST00000156084	45	45	32	18	10	18
ENST00000156109	143	94	53	17	11	19
ENST00000156471	431	374	245	76	84	71
ENST00000156499			1	1		
ENST00000156825	168	114	99	96	39	44
ENST00000157600	73	59	44	13	5	13
ENST00000157812	1230	735	550	97	49	81
ENST00000158166	32	27	14	5	2	3
ENST00000158526	675	511	341	62	52	53
ENST00000158762	5	2	1			
ENST00000158771	40	21	24			
ENST00000159060	6		1		2	
ENST00000159087	22	25	24	23	14	12
ENST00000159111	43	24	32	34	12	32
ENST00000159647	6	4	5	1	4	5
ENST00000160262	15	19	17	3	3	1
ENST00000160298	29	20	17	9	7	12
ENST00000160373			1			
ENST00000160740	87	81	78	60	31	40
ENST00000160827	740	603	429	87	80	80
ENST00000161006	14	13	5	2	5	6
ENST00000161559	4	1	1			
ENST00000161863	82	67	79	31	19	24
ENST00000162044	81	42	44		5	3
ENST00000162330	63	45	56	17	10	29
ENST00000162391	13	13	8	3	3	4
ENST00000162749	30	15	21	18	6	24
ENST00000163416	441	364	247	52	47	35
ENST00000163678	6	6	4	9	8	5
ENST00000164024	32	23	32	22	12	28
ENST00000164133	4	1	4	4	7	2
ENST00000164139		2	4	6	6	2
ENST00000164227	2	2	5	1		1
ENST00000164247	4	2	7		1	
ENST00000164305	33	26	25	6	9	4
ENST00000164640	14	10	17	12	8	7
ENST00000165698	4	5	1			
ENST00000166139	35	26	22	10	6	11
ENST00000166345	183	147	103	21	11	15
ENST00000166534	548	207	156	28	20	23
ENST00000167106		5	7	2	3	1
ENST00000167218	635	438	303	24	19	16
ENST00000167462	486	424	407	199	139	171
ENST00000167586	1					
ENST00000167825	8	15	18	8	2	10
ENST00000168216	311	206	152	20	10	26
ENST00000168869	1	1	1			
ENST00000169298		1				
ENST00000169551	55	43	16	12	8	7
ENST00000170150			1			
ENST00000170168	22	22	21	31	14	20
ENST00000170447	83	76	52	25	13	22
ENST00000170564	91	72	49	28	20	28
ENST00000170630	7	9	7	9	1	5
ENST00000171111	89	65	79	30	16	40
ENST00000171887	9	9	4	7	7	4
ENST00000172229	3					
ENST00000173229	5	12	8	1		4
ENST00000173527	358	379	209	39	20	35
ENST00000173898	16	25	6	7		3
ENST00000174618	46	36	31	7	8	9
ENST00000174653	54	44	23	4	6	6
ENST00000175091	285	190	164	5	8	5
ENST00000175506	595	369	276	41	9	45
ENST00000175756	38	34	42	16	9	9
ENST00000176183	1					
ENST00000176643	272	198	134	37	13	33
ENST00000176763	249	262	160	65	58	45
ENST00000177648	39	32	19	15	11	6
ENST00000177742	522	393	262	57	40	60
ENST00000178638	353	244	233	22	15	26
ENST00000178640	21	19	25	11	9	7
ENST00000179259	202	171	101	19	15	10
ENST00000180173	14	8	5	1	5	3
ENST00000181796	23	27	24	3	3	3
ENST00000181839	71	58	65	29	30	32
ENST00000182377	1	5	1	1		
ENST00000182527	37	25	15	3	5	11
ENST00000184266	258	172	95	13	3	6
ENST00000184956	891	668	582	146	96	129
ENST00000185150	118	86	71	39	16	26
ENST00000186436	90	93	58	16	14	29
ENST00000187608						1
ENST00000187762	6	1	4	2	1	
ENST00000187830	2	2	3		1	
ENST00000187879	4	2	2	2	2	
ENST00000187910	1					
ENST00000188312	270	201	151	30	21	22
ENST00000188376	3027	2026	1385	149	94	149
ENST00000189444	139	95	82	30	32	30
ENST00000190611	31	29	34	24	16	19
ENST00000190983	6	6	3			
ENST00000191018	103	90	73	3	5	5
ENST00000191063	3	5	4	5	3	7
ENST00000192314	1					
ENST00000192788	77	90	78	40	27	46
ENST00000193322	11	7	4			1
ENST00000193391		2				
ENST00000193403	751	529	382	178	152	155
ENST00000194097	14	22	24	16	11	17
ENST00000194118	25	19	28	10	3	11
ENST00000194152	68	33	36	7	5	7
ENST00000194155	44	40	26	5	1	11
ENST00000194214	39	36	13	3		3
ENST00000194530	5	5	5		1	1
ENST00000194900	179	135	90	24	17	25
ENST00000196061	209	144	103	37	14	23
ENST00000196169	9	11	10	3	3	2
ENST00000196371	178	153	111	15	19	11
ENST00000196482	19	13	13	3	2	8
ENST00000196489	16	8	5	4	4	4
ENST00000196551	1356	892	669	662	387	771
ENST00000197268	517	418	272	88	70	106
ENST00000198536	1	2	2	3	1	3
ENST00000198767	415	297	193	38	32	26
ENST00000198939	93	84	49	18	21	24
ENST00000199320	111	89	55	8	8	10
ENST00000199389	1293	924	531	213	124	160
ENST00000199448	13	9	9	3	2	
ENST00000199706	287	174	118	24	15	19
ENST00000199764	10	14	2		2	3
ENST00000199814	174	146	75	27	11	17
ENST00000199940	4	3	4		1	1
ENST00000200135	94	82	56	7	8	7
ENST00000200181	653	547	391	158	88	168
ENST00000200453	82	98	83	94	60	42
ENST00000200457	458	348	248	78	40	81
ENST00000200557	9	2	8	4	5	1
ENST00000200639	199	144	88	7	3	7
ENST00000200652	11	5	5	1	1	
ENST00000200691	1					1
ENST00000201031	397	340	256	80	64	76
ENST00000201586	14	12	13	1		1
ENST00000201647	96	109	52	24	12	23
ENST00000201943	6	2	1	2	2	
ENST00000201961	5	2		1		2
ENST00000201963	127	105	66	22	17	20
ENST00000202017	66	44	24	16	4	8
ENST00000202028	100	66	69	21	17	22
ENST00000202556	170	166	149	76	39	68
ENST00000202677	85	62	65	44	38	31
ENST00000202773	9856	7466	4736	1270	1169	1201
ENST00000202816	434	352	296	102	83	49
ENST00000202831	1	5	5	2	3	2
ENST00000202834	1					
ENST00000202917	5	7	4	1		
ENST00000202967	1					
ENST00000203001	144	140	96	25	30	15
ENST00000203166	25	29	24	11	4	8
ENST00000203407	853	576	405	35	15	37
