Gene_ID	MetStarve6h_Control_rep1	MetStarve6h_Control_rep2	MetStarve6h_Control_rep3	MetStarve6h_Starvation_rep1	MetStarve6h_Starvation_rep2	MetStarve6h_Starvation_rep3
ENSG00000000003.15	572	600	677	580	659	602
ENSG00000000005.6	0	0	0	0	0	0
ENSG00000000419.14	2988	4230	4049	3882	4448	3335
ENSG00000000457.14	485	234	257	222	239	469
ENSG00000000460.17	1399	1692	1538	1019	962	970
ENSG00000000938.13	0	1	2	0	0	0
ENSG00000000971.17	0	0	0	0	0	0
ENSG00000001036.14	2472	2390	2315	1977	1891	2062
ENSG00000001084.13	1698	1773	1728	1667	1853	1592
ENSG00000001167.15	1407	806	758	957	979	1692
ENSG00000001460.18	69	73	68	125	101	101
ENSG00000001461.17	355	96	100	185	184	474
ENSG00000001497.18	747	942	919	530	644	575
ENSG00000001561.7	603	574	626	609	610	607
ENSG00000001617.12	881	1029	1043	1030	1015	806
ENSG00000001626.18	0	0	0	2	3	1
ENSG00000001629.10	5009	4779	5069	5049	5178	5181
ENSG00000001630.18	1506	1879	1774	1414	1413	1190
ENSG00000001631.17	1788	1258	1314	1098	1260	2117
ENSG00000002016.18	366	249	238	190	225	358
ENSG00000002079.14	1	0	0	0	1	1
ENSG00000002330.14	819	1454	1333	1207	1286	734
ENSG00000002549.13	977	361	382	329	308	859
ENSG00000002586.20	0	0	0	0	0	0
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0
ENSG00000002587.10	22	8	8	34	27	26
ENSG00000002726.21	0	1	3	1	4	0
ENSG00000002745.13	0	0	0	0	0	0
ENSG00000002746.15	0	6	0	2	3	5
ENSG00000002822.16	30	42	45	36	41	21
ENSG00000002834.18	4563	3823	3654	2789	2738	3114
ENSG00000002919.15	1021	1132	1105	1831	2008	1860
ENSG00000002933.9	0	0	0	0	0	0
ENSG00000003056.8	2554	3663	3361	3417	3391	2518
ENSG00000003096.15	55	40	44	27	36	40
ENSG00000003137.9	192	141	138	113	127	255
ENSG00000003147.19	834	533	576	602	605	903
ENSG00000003249.15	1970	2495	2542	2132	2192	1599
ENSG00000003393.16	1047	1185	1189	1132	1269	1182
ENSG00000003400.16	5	4	5	7	12	6
ENSG00000003402.21	985	521	520	588	581	1119
ENSG00000003436.16	2561	2074	2088	1941	2011	2446
ENSG00000003509.16	371	230	251	136	159	286
ENSG00000003756.17	2266	2679	2687	2450	2783	2517
ENSG00000003987.14	127	115	139	124	147	171
ENSG00000003989.18	23483	21865	21806	21543	23067	23552
ENSG00000004059.11	3177	4966	4934	4919	5109	3091
ENSG00000004139.14	241	177	197	303	331	308
ENSG00000004142.12	2809	1721	1830	1594	1489	2442
ENSG00000004399.13	1864	1664	1562	1224	1381	1516
ENSG00000004455.18	2580	2936	2769	2745	2838	2836
ENSG00000004468.13	0	0	2	0	0	0
ENSG00000004478.8	7576	12366	11374	9521	9405	6000
ENSG00000004487.18	2119	1665	1733	1158	1242	1645
ENSG00000004534.15	998	797	795	685	850	1145
ENSG00000004660.15	85	85	70	58	56	75
ENSG00000004700.16	1335	1770	1750	1498	1624	1255
ENSG00000004766.17	1007	1136	1146	1197	1272	1055
ENSG00000004776.13	0	1	4	6	6	10
ENSG00000004777.19	78	67	70	88	110	158
ENSG00000004779.10	2648	4221	4013	3100	3295	2127
ENSG00000004799.8	80	74	93	58	50	57
ENSG00000004809.14	0	0	0	0	0	1
ENSG00000004838.14	8	21	20	14	26	7
ENSG00000004846.17	0	0	0	0	0	0
ENSG00000004848.8	15	21	20	33	26	25
ENSG00000004864.14	1631	617	611	562	569	1443
ENSG00000004866.22	422	277	328	194	215	278
ENSG00000004897.12	3728	3387	3445	3195	3411	3507
ENSG00000004939.16	0	0	0	1	4	0
ENSG00000004948.16	79	36	25	83	92	157
ENSG00000004961.15	680	402	358	365	334	557
ENSG00000004975.12	957	1289	1242	950	1054	733
ENSG00000005001.10	633	761	746	773	802	586
ENSG00000005007.14	2480	2210	2125	2090	2435	2598
ENSG00000005020.13	1393	837	816	784	767	1406
ENSG00000005022.6	7891	4681	4708	4309	4044	7130
ENSG00000005059.16	863	940	856	958	916	799
ENSG00000005073.6	12	4	4	7	15	20
ENSG00000005075.16	955	1232	1244	1322	1260	951
ENSG00000005100.13	1587	1053	1024	1105	1194	1743
ENSG00000005102.14	0	0	0	0	0	0
ENSG00000005108.17	0	0	0	0	1	0
ENSG00000005156.12	719	861	792	707	785	689
ENSG00000005175.10	1433	1046	1138	858	872	1333
ENSG00000005187.12	24	20	26	30	37	19
ENSG00000005189.20	430	209	219	203	254	445
ENSG00000005194.15	1152	1472	1272	1230	1235	995
ENSG00000005206.17	351	540	571	405	518	364
ENSG00000005238.20	196	165	184	148	142	132
ENSG00000005243.10	50	61	51	71	65	51
ENSG00000005249.13	614	395	405	494	458	764
ENSG00000005302.19	528	585	613	699	762	716
ENSG00000005339.15	4482	1515	1503	1836	1854	5591
ENSG00000005379.17	0	0	2	0	0	0
ENSG00000005381.9	0	0	0	0	1	0
ENSG00000005421.9	0	0	0	0	0	0
ENSG00000005436.14	569	517	463	390	421	481
ENSG00000005448.17	679	788	867	807	805	683
ENSG00000005469.12	1008	677	682	601	650	862
ENSG00000005471.19	34	30	22	34	18	51
ENSG00000005483.23	3182	1109	1195	1544	1600	4635
ENSG00000005486.17	1414	1391	1409	1673	1707	1475
ENSG00000005513.10	3	2	3	3	7	1
ENSG00000005700.15	3845	2753	2898	3196	3281	4493
ENSG00000005801.18	1545	1416	1477	1425	1602	1923
ENSG00000005810.20	3334	1857	1924	1470	1474	2672
ENSG00000005812.11	1531	1101	1080	1698	1738	2674
ENSG00000005844.19	9	1	2	6	4	5
ENSG00000005882.12	366	411	392	385	372	352
ENSG00000005884.18	1517	1645	1481	1404	1580	1422
ENSG00000005889.16	2375	2372	2293	4272	4356	4797
ENSG00000005893.16	3677	4105	3994	3813	4236	3666
ENSG00000005961.19	70	124	106	143	142	102
ENSG00000005981.13	0	0	0	1	0	0
ENSG00000006007.12	3611	4624	4466	4195	4350	3148
ENSG00000006015.18	914	1259	1214	1366	1457	1070
ENSG00000006016.12	122	134	137	118	143	103
ENSG00000006025.12	409	442	466	686	648	507
ENSG00000006042.12	3	1	2	1	1	2
ENSG00000006047.13	1049	1498	1343	1382	1470	1124
ENSG00000006059.4	0	0	0	0	0	0
ENSG00000006062.18	315	242	176	289	295	550
ENSG00000006071.16	73	24	43	24	47	49
ENSG00000006116.4	0	0	0	0	0	0
ENSG00000006118.15	5281	6976	6609	6156	6713	4519
ENSG00000006125.18	2091	786	753	704	686	2215
ENSG00000006128.12	0	0	0	0	0	0
ENSG00000006194.11	710	862	898	1068	1166	886
ENSG00000006210.7	2	0	0	1	3	2
ENSG00000006282.21	1752	2587	2484	2743	2923	1922
ENSG00000006283.18	0	3	6	2	5	7
ENSG00000006327.14	2463	3273	2927	4822	5353	4048
ENSG00000006377.11	0	0	0	0	0	0
ENSG00000006432.16	2746	1463	1419	1412	1486	2953
ENSG00000006451.8	763	790	785	658	730	704
ENSG00000006453.14	1401	1262	1314	1334	1466	1281
ENSG00000006459.11	245	142	148	245	215	501
ENSG00000006468.15	0	0	0	0	0	0
ENSG00000006530.18	638	701	745	879	977	738
ENSG00000006534.17	211	169	166	136	147	142
ENSG00000006555.11	23	19	14	23	30	13
ENSG00000006576.17	2444	1828	1905	1414	1485	2048
ENSG00000006606.9	2	2	0	3	3	0
ENSG00000006607.14	1007	598	604	543	622	1108
ENSG00000006611.17	0	0	0	1	0	0
ENSG00000006625.18	3549	5453	5490	5555	5924	3562
ENSG00000006634.8	3042	3112	3216	4519	4822	4879
ENSG00000006638.13	6	10	6	6	8	7
ENSG00000006652.15	629	711	573	1324	1564	1270
ENSG00000006659.13	0	0	0	0	0	0
ENSG00000006695.12	555	572	584	772	833	802
ENSG00000006704.11	471	267	293	198	235	391
ENSG00000006712.15	356	566	565	494	514	373
ENSG00000006715.16	1126	680	698	419	465	870
ENSG00000006740.18	214	97	71	86	91	236
ENSG00000006744.19	2446	2743	2499	1862	1978	1724
ENSG00000006747.15	1305	656	649	437	455	1114
ENSG00000006756.16	982	519	565	469	559	832
ENSG00000006757.12	74	102	102	180	180	124
ENSG00000006788.14	0	0	0	0	0	0
ENSG00000006831.10	4397	2353	2282	2532	2647	5367
ENSG00000006837.12	6	16	7	4	17	8
ENSG00000007001.13	0	0	0	0	0	0
ENSG00000007038.11	0	0	0	0	0	0
ENSG00000007047.16	236	126	116	96	148	139
ENSG00000007062.12	1	1	0	4	1	1
ENSG00000007080.11	69	61	41	56	52	75
ENSG00000007129.18	0	0	0	0	0	0
ENSG00000007168.14	4110	3526	3468	3703	3886	4476
ENSG00000007171.19	2	0	2	0	0	0
ENSG00000007174.18	2	0	0	0	1	0
ENSG00000007202.15	10362	9286	9175	7123	7367	8886
ENSG00000007216.16	0	0	0	0	0	2
ENSG00000007237.19	0	0	0	1	0	2
ENSG00000007255.10	346	525	504	622	562	300
ENSG00000007264.15	428	735	653	636	647	341
ENSG00000007306.15	0	5	5	0	0	1
ENSG00000007312.14	0	1	0	0	0	0
ENSG00000007314.12	1	0	0	1	0	0
ENSG00000007341.19	220	200	226	253	318	278
ENSG00000007350.17	0	0	0	0	0	1
ENSG00000007372.25	1	1	0	0	1	1
ENSG00000007376.8	770	1144	1118	1124	1221	841
ENSG00000007384.15	1030	1271	1221	1056	1248	968
ENSG00000007392.17	1462	1746	1753	926	1092	991
ENSG00000007402.12	15	9	14	8	9	13
ENSG00000007516.14	139	163	183	135	140	106
ENSG00000007520.4	840	961	946	957	1034	841
ENSG00000007541.17	815	1142	1077	1114	1137	826
ENSG00000007545.16	980	472	492	522	553	1148
ENSG00000007866.22	744	739	719	534	629	539
ENSG00000007908.16	10	10	15	20	13	17
ENSG00000007923.17	1396	1341	1312	1124	1005	1117
ENSG00000007933.13	0	0	0	0	0	0
ENSG00000007944.15	600	472	470	769	731	890
ENSG00000007952.18	0	1	0	0	0	1
ENSG00000007968.7	858	937	904	851	847	932
ENSG00000008018.9	5892	7783	7795	7337	7605	5415
ENSG00000008056.14	5	1	0	1	1	4
ENSG00000008083.14	669	200	193	260	242	917
ENSG00000008086.13	562	396	435	524	571	770
ENSG00000008118.10	0	0	1	0	0	1
ENSG00000008128.23	243	117	107	86	77	244
ENSG00000008130.15	2085	2674	2740	2798	2665	1907
ENSG00000008196.13	0	0	1	0	0	0
ENSG00000008197.5	0	0	0	0	0	0
ENSG00000008226.20	17	12	7	5	11	10
ENSG00000008256.16	597	350	346	291	335	675
ENSG00000008277.15	311	135	174	179	198	388
ENSG00000008282.10	5689	4532	4559	3983	4472	5573
