transcript	Control_rep1	Control_rep2	Control_rep3	LeuStarve_rep1	LeuStarve_rep2	LeuStarve_rep3
ENST00000000233	594	480	758	860	1045	720
ENST00000000412	538	413	619	558	626	442
ENST00000000442	45	40	67	42	53	40
ENST00000001008	5449	4369	6561	5116	6438	4113
ENST00000001146	12	5	11	8	18	11
ENST00000002125	68	67	79	63	82	67
ENST00000002165	675	470	701	655	707	519
ENST00000002501	27	17	29	29	58	32
ENST00000002829	4	2	9	11	9	9
ENST00000003100	1474	1133	1700	1546	2011	1224
ENST00000003302	308	225	368	317	400	273
ENST00000003583	1	1	1		1	1
ENST00000003912	10	7	20	18	31	16
ENST00000004531	78	79	94	115	128	95
ENST00000004982		1		1	1	
ENST00000005082	113	84	116	154	189	140
ENST00000005178	1	1		2	4	2
ENST00000005226	37	28	51	46	66	37
ENST00000005257	302	202	285	363	394	312
ENST00000005259	92	58	84	103	105	78
ENST00000005260	79	77	115	145	158	116
ENST00000005286	93	88	101	134	137	119
ENST00000005340	322	250	360	455	545	408
ENST00000005374	456	320	488	603	710	569
ENST00000005386	425	298	444	421	529	327
ENST00000005558	188	139	223	439	653	408
ENST00000006015	92	60	110	144	190	126
ENST00000006251	2	6	7	3	7	7
ENST00000006275	19	13	17	30	35	27
ENST00000006658	12	12	13	13	20	15
ENST00000006777	12	13	20	29	32	14
ENST00000007264	22	14	28	18	21	21
ENST00000007390	315	232	340	305	344	250
ENST00000007414			1	4	2	8
ENST00000007510	3	4	6	6	19	2
ENST00000007516	243	193	303	280	362	250
ENST00000007699	22	13	26	21	37	17
ENST00000007708	28	18	23	30	33	25
ENST00000007722	10	11	10	5	18	9
ENST00000007969	14	15	24	21	18	19
ENST00000008180	2	1	6	8	8	1
ENST00000008440	321	240	370	379	486	354
ENST00000008527	119	88	185	181	218	134
ENST00000009041	117	96	148	155	191	147
ENST00000009180	306	244	299	384	384	258
ENST00000009530					1	1
ENST00000009589	791	723	1004	456	450	356
ENST00000010132	21	11	28	45	51	36
ENST00000010299	93	62	101	107	150	108
ENST00000010404	24	20	44	24	40	31
ENST00000011292				1		
ENST00000011473	170	119	184	153	153	113
ENST00000011619	478	381	519	412	563	371
ENST00000011691	34	18	31	46	36	17
ENST00000011898	15	7	10	13	12	12
ENST00000012049	45	31	34	43	81	49
ENST00000012134	51	43	57	61	84	64
ENST00000012443	283	287	402	398	609	338
ENST00000013034	6968	5537	7893	8664	10476	7293
ENST00000013070	653	518	814	772	1036	693
ENST00000013125	78	62	92	105	101	74
ENST00000013222	1					
ENST00000013807	22	25	41	66	68	47
ENST00000013894	61	42	46	32	43	36
ENST00000014914	13	14	17	8	24	10
ENST00000014930	67	52	90	147	172	93
ENST00000014935	9	11	10	19	19	12
ENST00000016171	318	210	379	383	422	319
ENST00000016946	1864	1364	2137	1363	1643	1147
ENST00000017003	45	43	68	38	47	33
ENST00000019019	67	59	86	109	132	77
ENST00000019317	211	162	248	248	317	205
ENST00000020673		1	1	2	3	1
ENST00000020926		1		1		1
ENST00000020945	14	17	15	27	34	20
ENST00000022615	924	736	1223	958	1313	828
ENST00000023939	409	303	481	464	582	418
ENST00000024061	22	10	19	10	11	15
ENST00000025008	202	142	245	249	320	228
ENST00000025301	456	352	531	457	540	358
ENST00000025399	985	653	1064	1064	1423	872
ENST00000026218	44	24	50	44	51	45
ENST00000028008	3	3	2	4	2	4
ENST00000029410	16	10	16	16	19	12
ENST00000031146	18	20	30	56	83	31
ENST00000033079	92	54	63	92	159	110
ENST00000034275	204	140	240	227	264	181
ENST00000035307	34	35	46	26	46	26
ENST00000037243	280	168	292	313	379	249
ENST00000037869	847	650	985	791	1154	751
ENST00000038176	193	133	174	213	272	189
ENST00000039989	132	134	156	183	227	150
ENST00000040584	114	75	113	153	187	119
ENST00000040663	190	153	263	174	239	187
ENST00000040738	739	598	905	939	1303	852
ENST00000040877	236	214	332	217	304	241
ENST00000042381	31	26	47	40	62	41
ENST00000043402			1			1
ENST00000044462	1465	1058	1729	1630	1855	1432
ENST00000045083					1	
ENST00000045347	5	5	5	5	9	8
ENST00000046640	59	53	80	77	104	49
ENST00000052569	249	190	249	285	359	257
ENST00000053468	56	48	82	82	86	58
ENST00000053867	401	287	421	452	614	326
ENST00000054650	4	4	10	8	9	4
ENST00000054666	587	352	615	563	622	409
ENST00000054668			1			
ENST00000054950	1783	1285	1910	2710	3054	1913
ENST00000055077	503	342	508	675	791	640
ENST00000055335	9	12	10	13	22	15
ENST00000055682	5	5	16	7	17	6
ENST00000056233	30	28	42	27	69	33
ENST00000057513					2	
ENST00000060969	268	269	367	369	403	317
ENST00000061240	6	6	9	14	23	10
ENST00000064778	1		1	2	3	1
ENST00000064780	13	17	14	16	24	12
